(-0.18, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.18, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.18, 0.00, 0.98)
(-0.18, 0.00, 0.98)
(-0.18, 0.00, 0.98)
(-0.18, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.20, 0.02, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.02, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.20, 0.00, 0.98)
(-0.19, 0.00, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, 0.00, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.20, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.21, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.21, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.21, -0.03, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.04, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.02, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.20, -0.03, 0.98)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.03, 0.98)
(-0.22, -0.03, 0.98)
(-0.22, -0.04, 0.98)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.05, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.03, 0.98)
(-0.22, -0.03, 0.98)
(-0.22, -0.03, 0.98)
(-0.22, -0.03, 0.98)
(-0.22, -0.03, 0.98)
(-0.22, -0.03, 0.98)
(-0.22, -0.04, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.98)
(-0.22, -0.05, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.23, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.23, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.23, -0.03, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.03, 0.97)
(-0.22, -0.04, 0.97)
(-0.22, -0.03, 0.97)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, 0.00, 0.98)
(-0.20, 0.00, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, 0.00, 0.98)
(-0.19, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.19, -0.01, 0.98)
(-0.23, -0.01, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.00, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.23, 0.01, 0.97)
(-0.22, 0.02, 0.97)
(-0.21, 0.00, 0.98)
(-0.21, -0.04, 0.98)
(-0.20, -0.05, 0.98)
(-0.18, -0.04, 0.98)
(-0.17, -0.06, 0.98)
(-0.19, -0.09, 0.98)
(-0.19, -0.06, 0.98)
(-0.21, -0.09, 0.97)
(-0.20, -0.04, 0.98)
(-0.22, -0.04, 0.98)
(-0.21, -0.04, 0.98)
(-0.24, 0.00, 0.97)
(-0.21, -0.05, 0.98)
(-0.22, -0.02, 0.98)
(-0.23, -0.01, 0.97)
(-0.22, -0.03, 0.97)
(-0.21, -0.02, 0.98)
(-0.21, -0.02, 0.98)
(-0.21, -0.01, 0.98)
(-0.21, -0.01, 0.98)
(-0.22, 0.00, 0.98)
(-0.21, -0.01, 0.98)
(-0.21, -0.01, 0.98)
(-0.21, -0.01, 0.98)
(-0.21, -0.01, 0.98)
(-0.21, -0.01, 0.98)
(-0.21, 0.00, 0.98)
(-0.21, 0.00, 0.98)
(-0.21, 0.00, 0.98)
(-0.20, 0.00, 0.98)
(-0.20, 0.00, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, -0.01, 0.98)
(-0.20, 0.00, 0.98)
(-0.20, 0.00, 0.98)
(-0.21, 0.00, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.00, 0.98)
(-0.21, 0.00, 0.98)
(-0.21, 0.00, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.22, 0.03, 0.98)
(-0.22, 0.03, 0.98)
(-0.22, 0.04, 0.97)
(-0.22, 0.04, 0.97)
(-0.22, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.04, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.05, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.21, 0.06, 0.98)
(-0.17, 0.07, 0.98)
(-0.17, 0.07, 0.98)
(-0.17, 0.07, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.07, 0.98)
(-0.17, 0.08, 0.98)
(-0.18, 0.07, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.09, 0.98)
(-0.18, 0.08, 0.98)
(-0.17, 0.09, 0.98)
(-0.17, 0.08, 0.98)
(-0.17, 0.07, 0.98)
(-0.16, 0.07, 0.98)
(-0.17, 0.07, 0.98)
(-0.16, 0.08, 0.98)
(-0.16, 0.07, 0.98)
(-0.17, 0.07, 0.98)
(-0.16, 0.07, 0.98)
(-0.16, 0.06, 0.98)
(-0.17, 0.07, 0.98)
(-0.17, 0.08, 0.98)
(-0.16, 0.08, 0.98)
(-0.17, 0.08, 0.98)
(-0.18, 0.08, 0.98)
(-0.22, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.07, 0.97)
(-0.23, 0.07, 0.97)
(-0.22, 0.07, 0.97)
(-0.23, 0.06, 0.97)
(-0.23, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.21, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.22, 0.06, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.23, 0.08, 0.97)
(-0.23, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.07, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.23, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.23, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.23, 0.08, 0.97)
(-0.22, 0.08, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.23, 0.10, 0.97)
(-0.22, 0.09, 0.97)
(-0.23, 0.09, 0.97)
(-0.23, 0.10, 0.97)
(-0.23, 0.10, 0.97)
(-0.23, 0.10, 0.97)
(-0.23, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.09, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.21, 0.10, 0.97)
(-0.21, 0.10, 0.97)
(-0.21, 0.10, 0.97)
(-0.21, 0.11, 0.97)
(-0.21, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.21, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.24, 0.11, 0.97)
(-0.24, 0.11, 0.96)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.23, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.10, 0.97)
(-0.22, 0.11, 0.97)
(-0.23, 0.12, 0.97)
(-0.22, 0.12, 0.97)
(-0.23, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.11, 0.97)
(-0.22, 0.12, 0.97)
(-0.22, 0.12, 0.97)
